Time elapsed	Time stamp	Source Voltage	Source Current	Drain2 Voltage	Drain2 Current	Loop2 Index
s		V	A	V	A	

3.80693153e+01	23-05-22 13:02:21	8.34216800e-05	5.45615100e-04	-2.99927100e-01	-5.46511300e-04	94
3.84750266e+01	23-05-22 13:02:21	8.27525800e-05	5.45627900e-04	-2.99927600e-01	-5.46521700e-04	95
3.88674723e+01	23-05-22 13:02:22	8.21669800e-05	5.45616100e-04	-2.99926300e-01	-5.46507000e-04	96
3.92567695e+01	23-05-22 13:02:22	8.25853500e-05	5.45621500e-04	-2.99926800e-01	-5.46490800e-04	97
3.96630145e+01	23-05-22 13:02:23	8.25853500e-05	5.45598100e-04	-2.99927300e-01	-5.46449200e-04	98
4.00693426e+01	23-05-22 13:02:23	8.20832400e-05	5.45588000e-04	-2.99927200e-01	-5.47034500e-04	99
4.04755783e+01	23-05-22 13:02:23	8.26688800e-05	5.45929000e-04	-2.99926700e-01	-5.46542000e-04	100
4.08674096e+01	23-05-22 13:02:24	8.19997500e-05	5.45573000e-04	-2.99927600e-01	-5.46466800e-04	101
4.12568479e+01	23-05-22 13:02:24	8.28362000e-05	5.45593000e-04	-2.99926600e-01	-5.46460900e-04	102
4.16637078e+01	23-05-22 13:02:25	8.23343000e-05	5.45557700e-04	-2.99928000e-01	-5.46424600e-04	103
4.20691223e+01	23-05-22 13:02:25	8.25015600e-05	5.45535300e-04	-2.99926900e-01	-5.46408600e-04	104
4.24754189e+01	23-05-22 13:02:25	8.21668900e-05	5.45505400e-04	-2.99927900e-01	-5.46377300e-04	105
4.28675058e+01	23-05-22 13:02:26	8.31707400e-05	5.45492100e-04	-2.99927200e-01	-5.46367100e-04	106
4.32566792e+01	23-05-22 13:02:26	8.35890300e-05	5.45484400e-04	-2.99927300e-01	-5.46370500e-04	107
4.36632020e+01	23-05-22 13:02:27	8.28362600e-05	5.45503000e-04	-2.99926500e-01	-5.46362800e-04	108
4.40692449e+01	23-05-22 13:02:27	8.19997800e-05	5.45458100e-04	-2.99927100e-01	-5.46340900e-04	109
4.44756896e+01	23-05-22 13:02:27	8.24179500e-05	5.45466400e-04	-2.99926900e-01	-5.46336100e-04	110
4.48679329e+01	23-05-22 13:02:28	8.19159300e-05	5.45434800e-04	-2.99926500e-01	-5.46280600e-04	111
4.52566989e+01	23-05-22 13:02:28	8.24179700e-05	5.45360000e-04	-2.99926500e-01	-5.46235900e-04	112
4.56629125e+01	23-05-22 13:02:29	8.25853500e-05	5.45314400e-04	-2.99926900e-01	-5.46175200e-04	113
4.60693095e+01	23-05-22 13:02:29	8.22506600e-05	5.45268400e-04	-2.99926600e-01	-5.46126400e-04	114
4.64752726e+01	23-05-22 13:02:29	8.22507200e-05	5.45204700e-04	-2.99926800e-01	-5.46045100e-04	115
4.68673549e+01	23-05-22 13:02:30	8.28362600e-05	5.45144700e-04	-2.99927200e-01	-5.45982500e-04	116
4.72568501e+01	23-05-22 13:02:30	8.14980500e-05	5.45071300e-04	-2.99926300e-01	-5.45912500e-04	117
4.76629377e+01	23-05-22 13:02:31	8.19161100e-05	5.44991600e-04	-2.99926100e-01	-5.45834400e-04	118
4.80694194e+01	23-05-22 13:02:31	8.32544800e-05	5.44925700e-04	-2.99926800e-01	-5.45758500e-04	119
4.84758270e+01	23-05-22 13:02:31	8.25015900e-05	5.44853700e-04	-2.99926400e-01	-5.45703900e-04	120
4.88677950e+01	23-05-22 13:02:32	8.30873300e-05	5.44765200e-04	-2.99926800e-01	-5.45625500e-04	121
4.92573738e+01	23-05-22 13:02:32	8.30035400e-05	5.44690700e-04	-2.99926800e-01	-5.45504500e-04	122
4.96630599e+01	23-05-22 13:02:33	8.30035400e-05	5.44590100e-04	-2.99927600e-01	-5.45432800e-04	123
5.00690840e+01	23-05-22 13:02:33	8.20836300e-05	5.44535700e-04	-2.99927400e-01	-5.45376200e-04	124
5.04752081e+01	23-05-22 13:02:33	8.16652900e-05	5.44437800e-04	-2.99927300e-01	-5.45302400e-04	125
5.08674567e+01	23-05-22 13:02:34	8.25017300e-05	5.44378100e-04	-2.99926900e-01	-5.45226800e-04	126
5.12566875e+01	23-05-22 13:02:34	8.23343800e-05	5.44288200e-04	-2.99927200e-01	-5.45136200e-04	127
5.16633756e+01	23-05-22 13:02:35	8.28362900e-05	5.44221700e-04	-2.99927900e-01	-5.45079600e-04	128
5.20692050e+01	23-05-22 13:02:35	8.24181700e-05	5.44149400e-04	-2.99926800e-01	-5.45002600e-04	129
5.24753593e+01	23-05-22 13:02:35	8.23343800e-05	5.44075600e-04	-2.99926600e-01	-5.44933000e-04	130
5.28679961e+01	23-05-22 13:02:36	8.25017300e-05	5.44023500e-04	-2.99927400e-01	-5.44861800e-04	131
5.32567018e+01	23-05-22 13:02:36	8.14980000e-05	5.43955000e-04	-2.99927100e-01	-5.44814500e-04	132
5.36628269e+01	23-05-22 13:02:37	8.22507200e-05	5.43869800e-04	-2.99927000e-01	-5.44736600e-04	133
5.40691008e+01	23-05-22 13:02:37	8.29199000e-05	5.43826700e-04	-2.99926700e-01	-5.44668500e-04	134
5.44753814e+01	23-05-22 13:02:37	8.27527000e-05	5.43742800e-04	-2.99927300e-01	-5.44597800e-04	135
5.48674676e+01	23-05-22 13:02:38	8.15816700e-05	5.43675200e-04	-2.99927400e-01	-5.44535900e-04	136
5.52567509e+01	23-05-22 13:02:38	8.30875000e-05	5.43607500e-04	-2.99927400e-01	-5.44494700e-04	137
5.56629082e+01	23-05-22 13:02:39	8.23345600e-05	5.43568900e-04	-2.99926900e-01	-5.44444100e-04	138
5.60691455e+01	23-05-22 13:02:39	8.16653700e-05	5.43526300e-04	-2.99927500e-01	-5.44417500e-04	139
5.64754364e+01	23-05-22 13:02:39	8.23345600e-05	5.43492100e-04	-2.99927400e-01	-5.44362900e-04	140
5.68673334e+01	23-05-22 13:02:40	8.25854400e-05	5.43453400e-04	-2.99926500e-01	-5.44326700e-04	141
5.72567413e+01	23-05-22 13:02:40	8.21672400e-05	5.43424300e-04	-2.99927200e-01	-5.44296000e-04	142
5.76628089e+01	23-05-22 13:02:41	8.18328100e-05	5.43360000e-04	-2.99927500e-01	-5.44222700e-04	143
5.80689616e+01	23-05-22 13:02:41	8.26690800e-05	5.43333900e-04	-2.99927400e-01	-5.44200300e-04	144
5.84751951e+01	23-05-22 13:02:41	8.17490500e-05	5.43294100e-04	-2.99926700e-01	-5.44160400e-04	145
5.88673248e+01	23-05-22 13:02:42	8.30873900e-05	5.43262500e-04	-2.99927500e-01	-5.44128700e-04	146
5.92566531e+01	23-05-22 13:02:42	8.25854400e-05	5.43225800e-04	-2.99926700e-01	-5.44097300e-04	147
5.96626619e+01	23-05-22 13:02:43	8.26691700e-05	5.43202200e-04	-2.99927100e-01	-5.44099900e-04	148
6.00691015e+01	23-05-22 13:02:43	8.30874500e-05	5.43182600e-04	-2.99926700e-01	-5.44051700e-04	149
6.04752690e+01	23-05-22 13:02:43	8.31711200e-05	5.43126300e-04	-2.99927000e-01	-5.43997900e-04	150
