Time elapsed	Time stamp	source Voltage	source Current	source Resistance	trans_drain Voltage	trans_drain Current	trans_drain Resistance	trans_gate Voltage	trans_gate Current	trans_gate Resistance
s		V	A	V/A	V	A	V/A	V	A	V/A

1.42024212e+02	2023-02-13T17:58:37.395612	6.68018400e-05	-4.52197300e-07	-1.47727198e+02	-9.99432300e-02	-1.12088800e-08	8.91643322e+06	1.00011600e+00	4.65257800e-07	2.14959534e+06
1.42943372e+02	2023-02-13T17:58:38.314664	6.66345000e-05	-4.39475300e-07	-1.51622856e+02	-9.99430600e-02	-9.62751400e-09	1.03809831e+07	9.50106900e-01	4.52786900e-07	2.09835333e+06
1.43867691e+02	2023-02-13T17:58:39.238717	6.66344800e-05	-4.23550100e-07	-1.57323726e+02	-9.99435700e-02	-8.64910800e-09	1.15553615e+07	9.00105300e-01	4.32979300e-07	2.07886451e+06
1.44790666e+02	2023-02-13T17:58:40.161768	6.65507900e-05	-4.09758500e-07	-1.62414666e+02	-9.99432500e-02	-6.88822900e-09	1.45092810e+07	8.50079400e-01	4.22029400e-07	2.01426583e+06
1.45708807e+02	2023-02-13T17:58:41.079820	6.20328700e-05	-4.05617200e-07	-1.52934516e+02	-9.99439100e-02	-5.54315000e-09	1.80301652e+07	8.00078400e-01	4.05535300e-07	1.97289459e+06
1.46880940e+02	2023-02-13T17:58:42.251887	6.43755800e-05	-3.78989300e-07	-1.69861207e+02	-9.99435000e-02	-4.21784900e-09	2.36953717e+07	7.50090500e-01	3.93817900e-07	1.90466330e+06
1.48036937e+02	2023-02-13T17:58:43.407952	6.39571800e-05	-3.50942900e-07	-1.82243835e+02	-9.99430000e-02	-3.35400300e-09	2.97981248e+07	7.00106000e-01	3.85131800e-07	1.81783483e+06
1.49194766e+02	2023-02-13T17:58:44.566018	6.41245600e-05	-3.32519500e-07	-1.92844510e+02	-9.99437900e-02	-2.48306300e-09	4.02502031e+07	6.50105600e-01	3.45542100e-07	1.88140779e+06
1.50350791e+02	2023-02-13T17:58:45.722083	6.37061500e-05	-3.03376600e-07	-2.09990322e+02	-9.99432900e-02	-1.91568100e-09	5.21711548e+07	6.00112100e-01	3.08950800e-07	1.94241963e+06
1.51505843e+02	2023-02-13T17:58:46.877149	6.45429000e-05	-2.87148800e-07	-2.24771617e+02	-9.99432100e-02	-1.39716800e-09	7.15327076e+07	5.50081700e-01	3.06131000e-07	1.79688336e+06
1.52661946e+02	2023-02-13T17:58:48.033214	6.41244700e-05	-2.55583000e-07	-2.50894895e+02	-9.99433700e-02	-1.19496600e-09	8.36369989e+07	5.00085800e-01	2.74703800e-07	1.82045461e+06
1.53818528e+02	2023-02-13T17:58:49.189280	6.47101400e-05	-1.89946000e-07	-3.40676508e+02	-9.99438000e-02	-8.56537500e-10	1.16683508e+08	4.50098300e-01	2.26354000e-07	1.98847071e+06
1.54975625e+02	2023-02-13T17:58:50.346345	6.70529100e-05	-1.25320800e-07	-5.35050127e+02	-9.99427300e-02	-5.88507100e-10	1.69824170e+08	4.00097400e-01	1.63288600e-07	2.45024699e+06
